,PARK,name,place_id,rating,user_ratings_total,num_results,address,exists on ChicagoPark District?,other notes
191,BARAGA (FREDERICK),Baraga (Frederick) Park,ChIJb18uxZktDogRdt1Q8aOCYUM,4.3,17.0,1.0,,,
192,DOOLEY (THOMAS),Dooley (Thomas) Park,ChIJW7xoXBcwDogRq2GpCikOSs4,4.2,30.0,1.0,,,
193,HICKORY,Hickory Park,ChIJoQ5nVdPTD4gR_9QwFaAxuJA,0.0,0.0,2.0,,,
194,"SENKA (EDWARD ""DUKE"")","Senka (Edward ""Duke"") Park",ChIJLWvfHsQxDogR3Qgh6_q9RQc,4.3,676.0,1.0,,,
195,WOLCOTT (ALEXANDER),Wolcott Playground Park,ChIJ_YmSqLMvDogRBt3wqVHCx-8,4.2,5.0,0.0,,,
196,LE CLAIRE COURTS - HEARST COMM. CTR,LeClaire Courts-Hearst Park,ChIJN5mY9mMxDogRp5nktxyn5Vg,4.3,149.0,1.0,,,
197,DUBKIN (LEONARD),Dubkin Park,ChIJo3Xb_kzQD4gRxkhc4TPiuYk,0.0,0.0,0.0,,,
198,MINUTEMAN,Minuteman Park,ChIJTYYCGyQxDogRyN24MAG2qWc,4.3,98.0,0.0,,,
199,MOCCASIN RANCH,Moccasin Ranch Park,ChIJx0C7Zx4pDogRMASQ4Ia-Nls,5.0,2.0,1.0,,,
200,ROBICHAUX (JOSEPH),Robichaux (Joseph) Park,ChIJSyBUxO0lDogRexpJ2wixdhY,4.2,106.0,1.0,,,
201,ASPEN,Aspen Playlot Park,ChIJNdDgPAIsDogRww9ZFULRLHU,4.0,13.0,0.0,,,
202,BIRCH,Birch Park,ChIJJe11TFQpDogRsRZE1N7gu98,4.8,5.0,0.0,,,
203,POPLAR,Poplar Park,ChIJYaExMwcsDogRcawrSz2-K-Y,0.0,0.0,0.0,,,
204,HARSH (VIVIAN G.),Harsh Playground Park,ChIJ-cqtuGEpDogRr4_AsxoN7VE,4.8,9.0,1.0,,,
205,HOLLY,Holly Park,ChIJLzeXq-YrDogR1ZejbaE8Rlc,4.3,7.0,0.0,,,
206,PARK NO. 326,Park No. 326,ChIJk3_1siQpDogRT7fjGoA3Q6k,0.0,0.0,1.0,,,
