,name,place_id,rating,user_ratings_total,lat_g,lng_g
401,The Pony Inn,ChIJgbZhnFnSD4gR0BN1dcTJczQ,4.3,328,41.939787,-87.6701788
408,O'Rourkes Office,ChIJLWqiJtwkDogRx8WvqDj4hdc,4.3,113,41.6920601,-87.6813555
413,Replay Lincoln Park,ChIJ8Yz5zgDTD4gRmYymn9iFpCs,4.3,1837,41.9336737,-87.65372099999999
290,Simone's,ChIJNWZY-fgsDogRZixAtvIp2RQ,4.3,1913,41.8582085,-87.6510277
414,Ricky G's,ChIJ7SlrNdLRD4gRT1OB_gKTm4s,4.3,41,42.0116439,-87.6900345
415,The Reveler,ChIJ9QhNWp3TD4gRk4s5h0Xo6fo,4.3,408,41.9434142,-87.67829280000001
284,City Winery Riverwalk,ChIJ116KJrAsDogRRLCYua_pQuE,4.3,1794,41.8870236,-87.62868540000001
283,The Moonlighter,ChIJhRvjCWjND4gRYhDCdkv3FwI,4.3,689,41.9177332,-87.7073447
282,The J. Parker,ChIJ1bF4CWrTD4gRf3FAlYUHeXI,4.3,1383,41.9152954,-87.6343652
280,Palm Court,ChIJq6o6PwrRD4gRFe5bSOV_7OI,4.3,103,41.9004365,-87.6234056
92,O'Leary's Public House,ChIJS1oIcbQsDogR795gAtiA7dw,4.3,387,41.8920079,-87.6339294
142,Brehon Pub,ChIJxe7ATUvTD4gRqTE4US77ys8,4.3,445,41.8957842,-87.6339433
91,Blind Barber,ChIJfYtck9AsDogRYIKH_m3YCn8,4.3,688,41.88688,-87.6517326
433,Ola's Liquors,ChIJtyhPiMrSD4gRWRCXFm8uNTo,4.3,94,41.8990973,-87.6770178
132,GOLD STAR BAR,ChIJ0YNL287SD4gRNdFqpau8_7E,4.3,261,41.90313889999999,-87.67205000000001
567,Water Hole Lounge,ChIJw7TLwXAtDogR5WgUh5R5gY4,4.3,243,41.8628955,-87.6863077
71,Mom's Place - A Chicago Gathering Spot,ChIJNZDL67IsDogRZGzyXclOOsk,4.3,482,41.8938756,-87.63000110000002
